Month,Day,Time,Quantity,Cost
Jan,2,12.4333333333,75,28781400.0
Jan,3,12.4333333333,215,28996600.0
Jan,4,12.4333333333,133,29005700.0
Jan,5,12.4333333333,97,29136300.0
Jan,6,12.4333333333,69,29000000.0
Jan,7,12.4333333333,164,28500000.0
Jan,8,12.4333333333,227,28630000.0
Jan,9,12.4333333333,104,28345600.0
Jan,10,12.4333333333,102,28446300.0
Jan,11,12.4333333333,57,28250000.0
Jan,11,23.5,2,28250000.0
Jan,12,0.0,1,28200000.0
Jan,12,0.5,2,28044400.0
Jan,12,1.0,2,27475000.0
Jan,12,1.5,1,28000000.0
Jan,12,2.0,5,28081200.0
Jan,12,2.5,3,28061000.0
Jan,12,3.0,4,28205800.0
Jan,12,3.5,1,28200000.0
Jan,12,4.5,2,28246100.0
Jan,12,5.0,1,28000000.0
Jan,12,5.5,3,28280000.0
Jan,12,6.0,3,28280000.0
Jan,12,6.5,1,28280000.0
Jan,12,7.0,1,28000000.0
Jan,12,7.5,2,27538800.0
Jan,12,8.0,4,27000000.0
Jan,12,8.5,3,27000000.0
Jan,12,9.5,3,27995900.0
Jan,12,10.0,2,28200000.0
Jan,12,11.0,3,28192000.0
Jan,12,12.0,2,28200000.0
Jan,12,12.5,1,28200000.0
Jan,12,13.0,1,28200000.0
Jan,12,14.5,13,28285000.0
Jan,12,15.5,15,28300000.0
Jan,12,16.0,2,28378800.0
Jan,12,17.0,1,28300000.0
Jan,12,18.0,1,28250000.0
Jan,12,18.5,10,27622200.0
Jan,12,19.0,1,27800000.0
Jan,12,19.5,11,28261700.0
Jan,12,20.5,5,28050500.0
Jan,12,21.0,2,28264400.0
Jan,12,22.0,5,28324400.0
Jan,12,22.5,4,28177300.0
Jan,12,23.0,4,28384100.0
Jan,12,23.5,8,28379000.0
Jan,13,0.0,1,28000000.0
Jan,13,0.5,2,15000000.0
Jan,13,1.5,1,27000000.0
Jan,13,2.0,2,28250000.0
Jan,13,3.0,15,27500000.0
Jan,13,3.5,2,28302600.0
Jan,13,4.5,3,28180500.0
Jan,13,5.0,1,28393800.0
Jan,13,5.5,2,28411400.0
Jan,13,8.0,2,28100000.0
Jan,13,10.5,2,27825100.0
Jan,13,12.5,2,27754200.0
Jan,13,13.0,10,27700000.0
Jan,13,13.5,18,28430000.0
Jan,13,14.0,14,28779500.0
Jan,13,14.5,1,28430700.0
Jan,13,15.5,2,28465200.0
Jan,13,16.0,1,28497300.0
Jan,13,17.5,1,28500000.0
Jan,13,18.5,3,28282800.0
Jan,13,19.0,2,28425000.0
Jan,13,19.5,3,28000000.0
Jan,13,20.5,2,28211500.0
Jan,13,21.5,14,28250000.0
Jan,13,22.0,3,28329600.0
Jan,13,23.0,1,28390000.0
Jan,13,23.5,2,28050000.0
Jan,14,0.0,8,28419200.0
Jan,14,0.5,1,28000000.0
Jan,14,1.0,2,28357000.0
Jan,14,1.5,2,28495100.0
Jan,14,2.0,2,28583000.0
Jan,14,2.5,2,28402200.0
Jan,14,3.0,3,28500000.0
Jan,14,3.5,2,28501700.0
Jan,14,4.0,1,28400000.0
Jan,14,4.5,2,28501100.0
Jan,14,5.0,2,28160700.0
Jan,14,6.0,2,28450000.0
Jan,14,6.5,1,28458400.0
Jan,14,7.0,1,28400000.0
Jan,14,7.5,1,28400000.0
Jan,14,8.5,3,28446600.0
Jan,14,9.0,1,28477300.0
Jan,14,9.5,1,28496900.0
Jan,14,10.0,1,28516000.0
Jan,14,11.0,2,26667100.0
Jan,14,11.5,2,28557500.0
Jan,14,14.5,2,28470000.0
Jan,14,15.0,2,28471200.0
Jan,14,16.5,2,28369900.0
Jan,14,17.5,2,28495100.0
Jan,14,18.0,2,28518600.0
Jan,14,18.5,2,28554600.0
Jan,14,19.0,1,28580500.0
Jan,14,19.5,5,28500000.0
Jan,14,20.0,2,28504200.0
Jan,14,21.0,7,28400000.0
Jan,14,21.5,2,28516400.0
Jan,14,22.0,1,28543500.0
Jan,14,22.5,1,28560900.0
Jan,14,23.5,1,28577500.0
Jan,15,0.0,1,28594400.0
Jan,15,1.5,4,28205400.0
Jan,15,2.5,2,28538300.0
Jan,15,3.5,5,28392100.0
Jan,15,4.0,2,28550000.0
