Date	Cost
2013-04-28	12325000
2013-04-29	12400000
2013-04-30	12380000
2013-05-01	12510000
2013-05-02	12800000
2013-05-03	12684999
2013-05-04	12870000
2013-05-05	12785000
2013-05-06	12788999
2013-05-07	12749999
2013-05-08	12749000
2013-05-09	12565000
2013-05-10	12624000
2013-05-11	12640000
2013-05-12	12595000
2013-05-13	12575000
2013-05-14	12625000
2013-05-15	12490000
2013-05-16	12500000
2013-05-17	12590000
2013-05-18	12590000
2013-05-19	12629999
2013-05-20	12695000
2013-05-21	12670000
2013-05-22	12600000
2013-05-23	12740000
2013-05-24	12740000
2013-05-25	12735000
2013-05-26	13090000
2013-05-27	13050000
2013-05-28	12924995
2013-05-30	13137990
2013-06-01	13000000
2013-06-04	12800000
2013-06-05	12675000
2013-06-06	12515000
2013-06-07	12550000
2013-06-08	12225000
2013-06-09	12000000
2013-06-11	12500000
2013-06-12	12200000
2013-06-13	12075000
2013-06-14	12500000
2013-06-15	12300000
2013-06-16	12350000
2013-06-18	12395000
2013-06-19	12390000
2013-06-20	12250000
2013-06-21	12370000
2013-06-22	12150000
2013-06-23	12600000
2013-06-24	12475000
2013-06-25	12000000
2013-06-26	12950000
2013-06-27	12900000
2013-06-28	12598000
2013-06-29	12395000
2013-06-30	12375000
2013-07-01	12500000
2013-07-02	12750000
2013-07-03	12300000
2013-07-04	12625000
2013-07-05	12650000
2013-07-06	12650000
2013-07-07	12425000
2013-07-08	12100000
2013-07-09	12325000
2013-07-10	12350000
2013-07-11	12250000
2013-07-12	12375000
2013-07-13	12375000
2013-07-14	12375000
2013-07-15	12200000
2013-07-16	12245000
2013-07-17	12200000
2013-07-18	12000000
2013-07-19	12200000
2013-07-20	12150000
2013-07-22	12100000
2013-07-23	12100000
2013-07-24	11900000
2013-07-25	12100000
2013-07-26	12050000
2013-07-27	11950000
2013-07-28	12200000
2013-07-29	12050000
2013-08-08	12000000
2013-08-09	11940000
2013-08-10	11900000
2013-08-11	11875000
2013-08-12	11875000
2013-08-13	11900000
2013-08-14	11800000
2013-08-15	11875000
2013-08-16	11949494
2013-08-17	11800000
2013-08-18	11845000
2013-08-19	11900000
2013-08-20	11850000
2013-08-21	11875000
2013-08-22	11875000
2013-08-23	11889999
2013-08-24	11800000
2013-08-25	11800000
2013-08-26	11898000
2013-08-27	11800000
2013-08-28	11875000
2013-08-29	11875000
2013-08-30	11900000
2013-08-31	11924000
2013-09-01	11900000
2013-09-02	11800000
2013-09-03	11875000
2013-09-04	11853198
2013-09-05	11800000
2013-09-06	11790600
2013-09-07	11775000
2013-09-08	11722222
2013-09-09	11875000
2013-09-10	11700000
2013-09-11	11599999
2013-09-12	11650000
2013-09-13	11645000
2013-09-14	11600000
2013-09-15	11640000
2013-09-16	11650000
2013-09-17	11625000
2013-09-18	11625000
2013-09-19	11625000
2013-09-20	11599900
2013-09-21	11550000
2013-09-22	11575000
2013-09-23	11575000
2013-09-24	11650000
2013-09-25	11595000
2013-09-26	11500000
2013-09-27	11625000
2013-09-28	11500000
2013-09-29	11600000
2013-09-30	11700000
2013-10-01	11699999
2013-10-02	11698000
2013-10-03	11650000
2013-10-04	11599000
2013-10-05	11500000
2013-10-06	11500000
2013-10-07	11435000
2013-10-08	11425000
2013-10-09	11484000
2013-10-10	11350000
2013-10-11	11400000
2013-10-12	11395000
2013-10-13	11300000
2013-10-14	11360000
2013-10-15	11299000
2013-10-16	11375000
2013-10-17	11548000
2013-10-18	11330000
2013-10-19	11375000
2013-10-20	11400000
2013-10-21	11350000
2013-10-22	11177777
2013-10-23	11380000
2013-10-25	11300000
2013-10-26	11300000
2013-10-27	11555000
2013-10-28	11400000
2013-10-29	11400000
2013-10-30	11500000
2013-10-31	11650000
2013-11-01	11675000
2013-11-02	11900000
2013-11-03	11887816
2013-11-04	11900000
2013-11-05	11800000
2013-11-06	11769999
2013-11-07	11947000
2013-11-08	11880000
2013-11-09	12000000
2013-11-10	11789379
2013-11-11	11922645
2013-11-12	11850000
2013-11-13	11775000
2013-11-16	11775000
2013-11-17	11794000
2013-11-18	11790000
2013-11-19	11730000
2013-11-20	11750000
2013-11-21	11675522
2013-11-22	11780000
2013-11-23	11700000
2013-11-24	11775000
2013-11-25	11800584
2013-11-26	11700000
2013-11-27	11825000
2013-11-28	11775000
2013-11-29	11774608
2013-11-30	11773986
2013-12-01	11800000
2013-12-02	11999900
2013-12-03	11875000
2013-12-04	11750000
2013-12-05	11714997
2013-12-06	11747937
2013-12-07	11749999
2013-12-08	11675000
2013-12-09	11674999
2013-12-10	11699999
2013-12-11	11696428
2013-12-12	11700000
2013-12-13	11700000
2013-12-14	11694722
2013-12-15	11300000
2013-12-16	11375000
2013-12-17	11400000
2013-12-18	11189998
2013-12-19	11300000
2013-12-20	11375000
2013-12-21	11245000
2013-12-22	11199999
2013-12-23	11125000
2013-12-24	11111111
2013-12-25	11300000
2013-12-26	11525000
2013-12-27	11583197
2013-12-28	11600000
2013-12-29	11900000
2013-12-30	11625000
2014-01-01	11825000
2014-01-02	11799999
2014-01-03	11890000
2014-01-04	11800000
2014-01-09	11860000
2014-01-10	11800000
2014-01-11	11900000
2014-01-12	11911278
2014-01-13	12000000
2014-01-14	12041392
2014-01-15	12013162
2014-01-16	12050000
2014-01-17	12200000
2014-01-19	12074000
2014-01-20	12000000
2014-01-21	12100000
2014-01-22	11999995
2014-01-23	12030000
2014-01-24	12000000
2014-01-25	12000000
2014-01-26	12099999
2014-01-27	12095000
2014-01-28	12000000
2014-01-29	12100000
2014-01-30	12100000
2014-01-31	12284999
2014-02-01	12100000
2014-02-02	12200000
2014-02-03	12250000
2014-02-04	12225000
2014-02-05	12240555
2014-02-06	12230117
2014-02-07	12240000
2014-02-16	12370635
2014-02-17	12400000
2014-02-18	12300000
2014-02-19	12320000
2014-02-20	12400906
2014-02-21	12325000
2014-02-22	12309816
2014-02-23	12300000
2014-02-24	12275000
2014-02-25	12380000
2014-02-26	12300000
2014-02-27	12399000
2014-03-01	12400000
2014-03-03	12275000
2014-03-04	12124995
2014-03-05	12145000
2014-03-06	12100000
2014-03-07	12150000
2014-03-08	12150000
2014-03-09	12099111
2014-03-10	12045000
2014-03-11	11900000
2014-03-12	12075000
2014-03-14	11845000
2014-03-15	12000000
2014-03-16	12100000
2014-03-17	12098980
2014-03-18	12075000
2014-03-19	12000000
2014-03-20	12000000
2014-03-21	12000000
2014-03-22	11999999
2014-03-23	12083168
2014-03-24	12025000
2014-03-25	12000000
2014-03-26	12089000
2014-03-27	12099000
2014-03-28	12050000
2014-03-29	12099999
2014-03-30	12137768
2014-03-31	12250000
2014-04-01	12135118
2014-04-03	12060000
2014-04-04	12074000
2014-04-05	12066425
2014-04-06	12038000
2014-04-07	12000000
2014-04-08	11980000
2014-04-09	12030000
2014-04-10	11988000
2014-04-11	11975000
2014-04-12	11982037
2014-04-13	11994549
2014-04-14	11950000
2014-04-15	12000000
2014-04-16	12050000
2014-04-18	11950000
2014-04-19	11805000
2014-04-20	12000000
2014-04-21	12019005
2014-04-22	12000000
2014-04-23	11975000
2014-04-24	12040000
2014-04-25	12035000
2014-04-26	12011000
2014-04-27	12000000
2014-04-28	12095096
2014-04-29	12100000
2014-04-30	12099999
2014-05-01	12100000
2014-05-02	12191200
2014-05-03	12043459
2014-05-04	12125000
2014-05-05	12100000
2014-05-06	12000000
2014-05-07	11927267
2014-05-08	12024999
2014-05-09	12000000
2014-05-10	12000000
2014-05-11	12025000
2014-05-12	12040000
2014-05-13	12087500
2014-05-14	12053000
2014-05-15	12050000
2014-05-16	12099999
2014-05-17	12050000
2014-05-18	12018148
2014-05-19	12025000
2014-05-20	12100000
2014-05-22	12105000
2014-05-23	12150000
2014-05-24	12050000
2014-05-25	12174950
2014-05-26	12150000
2014-05-27	12400000
2014-05-28	12325000
2014-05-29	12275000
2014-05-30	12349999
2014-05-31	12400000
2014-06-01	12720000
2014-06-02	12600000
2014-06-03	12720000
2014-06-04	12520703
2014-06-05	12150000
2014-06-06	12125000
2014-06-07	12226660
2014-06-08	12250000
2014-06-09	12295000
2014-06-10	12275000
2014-06-11	12299000
2014-06-12	12184475
2014-06-13	12175000
2014-06-14	12226952
2014-06-15	12200000
2014-06-16	12227383
2014-06-17	12225000
2014-06-18	12227809
2014-06-19	12200000
2014-06-20	12200000
2014-06-21	12274587
2014-06-22	12240491
2014-06-23	12462934
2014-06-24	12254059
2014-06-25	12600000
2014-06-26	12275000
2014-06-27	12359000
2014-06-28	12400000
2014-06-29	12421591
2014-06-30	12500000
2014-07-01	12520000
2014-07-02	12445288
2014-07-03	12500000
2014-07-04	12600164
2014-07-05	12600000
2014-07-06	12613500
2014-07-07	12624750
2014-07-08	12567330
2014-07-09	12467023
2014-07-10	12531790
2014-07-11	12512153
2014-07-12	12436203
2014-07-13	12335733
2014-07-14	12490000
2014-07-15	12500000
2014-07-16	12515018
2014-07-17	12486293
2014-07-18	12518971
2014-07-19	12458824
2014-07-20	12459054
2014-07-21	12545313
2014-07-22	12532192
2014-07-23	12500000
2014-07-24	12583798
2014-07-25	12555190
2014-07-26	12500000
2014-07-27	12499999
2014-07-28	12475000
2014-07-29	12535000
2014-07-30	12520000
2014-07-31	12455000
2014-08-01	12558528
2014-08-02	12599681
2014-08-03	12474000
2014-08-04	12470000
2014-08-05	12375361
2014-08-06	12386686
2014-08-08	12320000
2014-08-09	12368898
2014-08-10	12416500
2014-08-12	12396683
2014-08-13	12389372
2014-08-14	12417562
2014-08-15	12398203
2014-08-16	12333332
2014-08-17	12329755
2014-08-18	12395000
2014-08-19	12300000
2014-08-20	12400000
2014-08-21	12338517
2014-08-22	12350000
2014-08-23	12372000
2014-08-24	12350000
2014-08-25	12300000
2014-08-26	12340000
2014-08-28	12324694
2014-08-29	12370000
