Month,Day,Time,Quantity,Cost
Jan,2,12.4333333333,86,23666000.0
Jan,3,12.4333333333,57,23673800.0
Jan,4,12.4333333333,109,23408700.0
Jan,5,12.4333333333,83,23258300.0
Jan,6,12.4333333333,68,23483100.0
Jan,7,12.4333333333,75,23450000.0
Jan,8,12.4333333333,41,23455500.0
Jan,9,12.4333333333,52,23415400.0
Jan,10,12.4333333333,73,23541200.0
Jan,11,12.4333333333,49,23737800.0
Jan,12,12.4333333333,58,23672300.0
Jan,13,12.4333333333,82,23829500.0
Jan,14,12.4333333333,92,23691500.0
Jan,15,12.4333333333,82,23760300.0
Jan,16,12.4333333333,112,23739600.0
Jan,17,12.4333333333,103,24092700.0
Jan,18,12.4333333333,32,24765000.0
Jan,25,12.4333333333,80,27398600.0
Jan,26,12.4333333333,78,27475000.0
Jan,27,12.4333333333,71,27625000.0
Jan,28,12.4333333333,52,27995000.0
Jan,29,12.4333333333,155,26707900.0
Jan,30,12.4333333333,191,27800000.0
Jan,31,12.4333333333,102,28080000.0
Feb,1,12.4333333333,53,28480000.0
Feb,2,12.4333333333,107,28950000.0
Feb,3,12.4333333333,91,29587800.0
Feb,4,12.4333333333,75,29000000.0
Feb,5,12.4333333333,75,28129900.0
Feb,6,12.4333333333,58,29399300.0
Feb,7,12.4333333333,46,29000000.0
Feb,8,12.4333333333,62,28950000.0
Feb,9,12.4333333333,70,28496000.0
Feb,10,12.4333333333,52,29025000.0
Feb,11,12.4333333333,51,28824400.0
Feb,12,12.4333333333,117,28500000.0
Feb,13,12.4333333333,94,28597700.0
Feb,14,12.4333333333,162,28597500.0
Feb,15,12.4333333333,54,28632100.0
Feb,16,12.4333333333,69,28500000.0
Feb,17,12.4333333333,72,28567200.0
Feb,18,12.4333333333,60,28679200.0
Feb,19,12.4333333333,97,28429800.0
Feb,20,12.4333333333,76,28400000.0
Feb,21,12.4333333333,52,28400000.0
Feb,22,12.4333333333,81,28400000.0
Feb,23,12.4333333333,95,28000000.0
Feb,24,12.4333333333,134,28173200.0
Feb,25,12.4333333333,78,28000000.0
Feb,26,12.4333333333,72,28126600.0
Feb,27,12.4333333333,72,28150000.0
Feb,28,12.4333333333,62,28220800.0
Feb,29,12.4333333333,100,28594800.0
Mar,1,12.4333333333,70,29000000.0
Mar,2,12.4333333333,53,29325000.0
Mar,3,12.4333333333,70,29415000.0
Mar,4,12.4333333333,70,29506200.0
Mar,5,12.4333333333,115,29379000.0
Mar,6,12.4333333333,63,29300000.0
Mar,7,12.4333333333,75,29300000.0
Mar,8,12.4333333333,68,29129000.0
Mar,9,12.4333333333,68,29156100.0
Mar,10,12.4333333333,50,29100000.0
Mar,11,12.4333333333,39,28829500.0
Mar,12,12.4333333333,82,28976600.0
Mar,13,12.4333333333,74,29142800.0
Mar,14,12.4333333333,62,29148400.0
Mar,15,12.4333333333,67,29177900.0
Mar,16,12.4333333333,145,29300000.0
Mar,17,12.4333333333,90,29313600.0
Mar,18,12.4333333333,119,29162900.0
Mar,19,12.4333333333,70,29102600.0
Mar,20,12.4333333333,202,28846900.0
